,Symbol,Type
977,RIDE,ACTIVES
978,RIG,ACTIVES
979,RIOT,ACTIVES
980,RJF,SP500
981,RKT,ACTIVES
982,RL,SP500
983,RLI,LOOSERS
984,RLLCF,LOOSERS
985,RLX,GAINERS
986,RMD,SP500
987,RMS.PA,CAC40
988,RMS.PA,DAX
989,RNECY,LOOSERS
990,RNO.PA,DAX
991,RNO.PA,CAC40
992,RNR,LOOSERS
993,ROK,SP500
994,ROL,SP500
995,ROOT,GAINERS
996,ROP,SP500
997,ROST,SP500
998,ROST,NASDAQ
999,RPD,GAINERS
1000,RPRX,ACTIVES
1001,RRC,ACTIVES
1002,RRC,GAINERS
1003,RSG,SP500
1004,RTX,SP500
1005,RTX,ACTIVES
1006,RUBY,GAINERS
1007,RUN,GAINERS
1008,RVMD,GAINERS
1009,RXT,ACTIVES
1010,RXT,GAINERS
1011,RYAAY,LOOSERS
1012,RYCEF,LOOSERS
1013,RYCEY,LOOSERS
1014,RYCEY,ACTIVES
1015,RYN,LOOSERS
1016,SAF.PA,CAC40
1017,SAF.PA,DAX
1018,SAM,GAINERS
1019,SAN.PA,CAC40
1020,SAN.PA,DAX
1021,SANA,GAINERS
1022,SBAC,SP500
1023,SBGI,LOOSERS
1024,SBSW,LOOSERS
1025,SBUX,ACTIVES
1026,SBUX,SP500
1027,SBUX,NASDAQ
1028,SC,LOOSERS
1029,SCHW,SP500
1030,SDGR,GAINERS
1031,SEDG,GAINERS
1032,SEE,SP500
1033,SEER,GAINERS
1034,SEM,LOOSERS
1035,SF,LOOSERS
1036,SGEN,NASDAQ
1037,SGFY,LOOSERS
1038,SGO.PA,DAX
1039,SGO.PA,CAC40
1040,SHLX,TRENDING
1041,SHO,LOOSERS
1042,SHW,SP500
1043,SI,GAINERS
1044,SID,LOOSERS
1045,SIGI,LOOSERS
1046,SIRI,NASDAQ
1047,SIRI,ACTIVES
1048,SIVB,SP500
1049,SJI,GAINERS
1050,SJM,SP500
1051,SKLZ,LOOSERS
1052,SKLZ,ACTIVES
1053,SKY,GAINERS
1054,SLB,ACTIVES
1055,SLB,SP500
1056,SLG,ACTIVES
1057,SLG,SP500
1058,SLM,ACTIVES
1059,SLQT,ACTIVES
1060,SM,ACTIVES
1061,SM,GAINERS
1062,SMTC,GAINERS
1063,SNA,SP500
1064,SNAP,ACTIVES
1065,SNBR,GAINERS
1066,SNDL,ACTIVES
1067,SNPS,NASDAQ
1068,SNPS,SP500
1069,SO,SP500
1070,SPG,SP500
1071,SPGI,SP500
1072,SPLK,NASDAQ
1073,SPWR,GAINERS
1074,SRE,SP500
1075,SRNE,ACTIVES
1076,STAA,GAINERS
1077,STE,SP500
1078,STIC,TRENDING
1079,STLA,LOOSERS
1080,STLA.PA,DAX
1081,STLA.PA,CAC40
1082,STLFF,LOOSERS
1083,STM,GAINERS
1084,STM.PA,DAX
1085,STM.PA,CAC40
1086,STOR,LOOSERS
1087,STT,SP500
1088,STX,SP500
1089,STZ,SP500
1090,SU.PA,DAX
1091,SU.PA,CAC40
1092,SUMO,LOOSERS
1093,SVC,LOOSERS
1094,SVRGF,GAINERS
1095,SWAV,GAINERS
1096,SWK,SP500
1097,SWKS,NASDAQ
1098,SWKS,SP500
1099,SWN,ACTIVES
1100,SWN,GAINERS
1101,SYF,SP500
1102,SYK,SP500
1103,SYY,SP500
1104,T,ACTIVES
1105,T,SP500
1106,TAP,SP500
1107,TAWNF,GAINERS
1108,TBVPF,LOOSERS
1109,TCNNF,LOOSERS
1110,TCOM,NASDAQ
1111,TDG,SP500
1112,TDY,SP500
1113,TEAM,NASDAQ
1114,TECK,LOOSERS
1115,TEL,SP500
1116,TEP.PA,CAC40
1117,TEP.PA,DAX
1118,TER,SP500
1119,TFC,ACTIVES
1120,TFC,SP500
1121,TFX,SP500
1122,TGOPY,LOOSERS
1123,TGT,SP500
1124,TGT,GAINERS
1125,TGTX,GAINERS
1126,THETA-USD,TRENDING
1127,THNPY,LOOSERS
1128,TIIAY,LOOSERS
1129,TIL,GAINERS
1130,TJX,ACTIVES
1131,TJX,SP500
1132,TKGBY,GAINERS
1133,TLRY,ACTIVES
1134,TME,GAINERS
1135,TME,ACTIVES
1136,TMO,SP500
1137,TMUS,NASDAQ
1138,TMUS,SP500
1139,TMVWY,LOOSERS
1140,TNDM,GAINERS
1141,TOSYY,GAINERS
1142,TPL,GAINERS
1143,TPR,SP500
1144,TRMB,SP500
1145,TROW,SP500
1146,TRV,SP500
1147,TRV,LOOSERS
1148,TRV,DJI
1149,TSCO,SP500
1150,TSE,LOOSERS
1151,TSLA,ACTIVES
1152,TSLA,NASDAQ
1153,TSLA,SP500
1154,TSM,ACTIVES
1155,TSN,SP500
1156,TSNPD,GAINERS
1157,TT,SP500
